"0","hair","false"
"1","hair","true"
"2","feathers","false"
"3","feathers","true"
"4","eggs","false"
"5","eggs","true"
"6","milk","false"
"7","milk","true"
"8","airborne","false"
"9","airborne","true"
"10","aquatic","false"
"11","aquatic","true"
"12","predator","false"
"13","predator","true"
"14","toothed","false"
"15","toothed","true"
"16","backbone","false"
"17","backbone","true"
"18","breathes","false"
"19","breathes","true"
"20","venomous","false"
"21","venomous","true"
"22","fins","false"
"23","fins","true"
"24","legs","0"
"25","legs","2"
"26","legs","4"
"27","legs","5"
"28","legs","6"
"29","legs","8"
"30","tail","false"
"31","tail","true"
"32","domestic","false"
"33","domestic","true"
"34","catsize","false"
"35","catsize","true"